match,group,home,away,m_home,m_draw,m_away,mkt_home,mkt_draw,mkt_away,actual,score,played
1,A,Mexico,South Africa,71.5,18.9,9.6,,,,H,2-0,1
2,A,South Korea,Czechia,41.3,28.7,29.9,,,,H,2-1,1
3,B,Canada,Bosnia & Herzegovina,50.9,26.9,22.2,,,,D,1-1,1
4,D,United States,Paraguay,52.4,26.5,21.1,,,,H,4-1,1
5,B,Qatar,Switzerland,6.0,14.5,79.5,,,,D,1-1,1
6,C,Brazil,Morocco,46.7,27.9,25.4,,,,D,1-1,1
7,C,Haiti,Scotland,16.9,24.5,58.6,,,,A,0-1,1
8,D,Australia,Türkiye,30.9,28.8,40.3,,,,H,2-0,1
9,E,Germany,Curaçao,82.0,13.0,5.0,,,,H,7-1,1
10,F,Netherlands,Japan,45.7,28.1,26.2,,,,D,2-2,1
11,E,Côte d'Ivoire,Ecuador,21.1,26.5,52.4,,,,H,1-0,1
12,F,Sweden,Tunisia,50.9,26.9,22.2,,,,H,5-1,1
13,H,Spain,Cabo Verde,91.2,6.9,1.9,90.9,6.9,2.3,D,0-0,1
14,G,Belgium,Egypt,45.3,28.1,26.5,7.0,90.6,2.4,D,1-1,1
15,H,Saudi Arabia,Uruguay,17.0,24.6,58.5,10.8,21.4,67.7,D,1-1,1
16,G,Iran,New Zealand,65.0,22.0,13.0,54.4,27.1,18.5,D,2-2,1
17,I,France,Senegal,65.2,21.9,12.9,66.3,21.3,12.5,H,3-1,1
18,I,Iraq,Norway,8.8,18.0,73.2,5.4,12.6,82.0,A,1-4,1
19,J,Argentina,Algeria,71.9,18.7,9.4,70.3,20.0,9.7,H,3-0,1
20,J,Austria,Jordan,55.9,25.5,18.6,72.9,17.2,9.9,H,3-1,1
21,K,Portugal,DR Congo,59.0,24.4,16.6,76.0,16.7,7.3,D,1-1,1
22,L,England,Croatia,49.5,27.3,23.2,,,,H,4-2,1
23,L,Ghana,Panama,48.1,27.6,24.3,40.8,30.1,29.1,H,1-0,1
24,K,Uzbekistan,Colombia,6.2,14.9,78.9,9.5,19.6,71.0,A,1-3,1
25,A,Czechia,South Africa,43.5,28.4,28.1,51.8,26.6,21.6,D,1-1,1
26,B,Switzerland,Bosnia & Herzegovina,65.5,21.8,12.8,62.1,23.2,14.7,H,4-1,1
27,B,Canada,Qatar,66.8,21.2,12.1,76.2,16.2,7.7,H,6-0,1
28,A,Mexico,South Korea,57.7,24.8,17.5,47.5,28.8,23.7,H,1-0,1
29,D,United States,Australia,51.1,26.9,22.1,,,,H,2-0,1
30,C,Scotland,Morocco,18.8,25.5,55.6,15.8,26.1,58.1,A,0-1,1
31,C,Brazil,Haiti,85.7,10.7,3.7,88.4,8.1,3.6,H,3-0,1
32,D,Türkiye,Paraguay,41.5,28.7,29.8,47.0,28.1,25.0,A,0-1,1
33,F,Netherlands,Sweden,62.4,23.1,14.5,56.7,23.5,19.8,H,5-1,1
